,label,comment,label doc,comment doc,comment not empty
http://ns.inria.fr/ast/sql#Min,Minimum,,minimum ,,False
http://ns.inria.fr/ast/sql#Expression,Expression,,expression ,,False
http://ns.inria.fr/ast/sql#AggregateFunction,Aggregate Function,,aggregate function ,,False
http://ns.inria.fr/ast/sql#Cast,Cast,,cast ,,False
http://ns.inria.fr/ast/sql#NotEquals,Difference comparison,,difference comparison ,,False
http://ns.inria.fr/ast/sql#LessEquals,Less than or equal to comparison,,less equal comparison ,,False
http://ns.inria.fr/ast/sql#CreateStatement,Create Statement,,create statement ,,False
http://ns.inria.fr/ast/sql#ASTNode,Generic AST Node,,generic ast node ,,False
http://ns.inria.fr/ast/sql#AlterStatement,Alter Statement,,alter statement ,,False
http://ns.inria.fr/ast/sql#Grant,Grant Statement,,grant statement ,,False
http://ns.inria.fr/ast/sql#Equals,Equality comparison,,equality comparison ,,False
http://ns.inria.fr/ast/sql#ViewIdentifier,View Identifier,,view identifier ,,False
http://ns.inria.fr/ast/sql#SetOperator,Set Operator,,set operator ,,False
http://ns.inria.fr/ast/sql#Procedure,Relational Procedure,,relational procedure ,,False
http://ns.inria.fr/ast/sql#ProcedureIdentifier,Procedure Identifier,,procedure identifier ,,False
http://ns.inria.fr/ast/sql#Between,Range predicate,,range predicate ,,False
http://ns.inria.fr/ast/sql#Not,Logical Negation,,logical negation ,,False
http://ns.inria.fr/ast/sql#AggregationExpression,Aggregation Expression,,aggregation expression ,,False
http://ns.inria.fr/ast/sql#StringOperator,String Operator,,string operator ,,False
http://ns.inria.fr/ast/sql#UpdateStatement,Update Statement,,update statement ,,False
http://ns.inria.fr/ast/sql#LogicalOperator,Logical Operator,,logical operator ,,False
http://ns.inria.fr/ast/sql#IndexIdentifier,Index Identifier,,index identifier ,,False
http://ns.inria.fr/ast/sql#Sequence,Relational Sequence,,relational sequence ,,False
http://ns.inria.fr/ast/sql#GreaterThan,Greater than comparison,,greater comparison ,,False
http://ns.inria.fr/ast/sql#Table,Relational Table,,relational table ,,False
http://ns.inria.fr/ast/sql#Like,Like predicate,,like predicate ,,False
http://ns.inria.fr/ast/sql#In,In predicate,,predicate ,,False
http://ns.inria.fr/ast/sql#ColumnIdentifier,Column Identifier,,column identifier ,,False
http://ns.inria.fr/ast/sql#ObjectIdentifier,Database Catalog Object Identifier,,database catalog object identifier ,,False
http://ns.inria.fr/ast/sql#SelectStatement,Select Statement,,select statement ,,False
http://ns.inria.fr/ast/sql#CrossJoin,Cross Join Predicate,,cross join predicate ,,False
http://ns.inria.fr/ast/sql#ArithmeticOperator,Arithmetic Operator,,arithmetic operator ,,False
http://ns.inria.fr/ast/sql#CatalogObject,Database Catalog Object,,database catalog object ,,False
http://ns.inria.fr/ast/sql#DataManipulationStatement,Data Manipulation Statement,,data manipulation statement ,,False
http://ns.inria.fr/ast/sql#CaseExpression,Case Expression,,case expression ,,False
http://ns.inria.fr/ast/sql#SchemaIdentifier,Schema Identifier,,schema identifier ,,False
http://ns.inria.fr/ast/sql#TableFunction,Table Function,,table function ,,False
http://ns.inria.fr/ast/sql#Revoke,Revoke Statement,,revoke statement ,,False
http://ns.inria.fr/ast/sql#GreaterEquals,Greater than or equal to comparison,,greater equal comparison ,,False
http://ns.inria.fr/ast/sql#SetStatement,Set Statement,,set statement ,,False
http://ns.inria.fr/ast/sql#CommitStatement,Commit Statement,,commit statement ,,False
http://ns.inria.fr/ast/sql#RightOuterJoin,Right Outer Join Predicate,,right outer join predicate ,,False
http://ns.inria.fr/ast/sql#DataDefinitionStatement,Data Definition Statement,,data definition statement ,,False
http://ns.inria.fr/ast/sql#All,All,,,,False
http://ns.inria.fr/ast/sql#Function,Function,,function ,,False
http://ns.inria.fr/ast/sql#SequenceIdentifier,Identifier,,identifier ,,False
http://ns.inria.fr/ast/sql#FullOuterJoin,Full Outer Join Predicate,,full outer join predicate ,,False
http://ns.inria.fr/ast/sql#SessionManagementStatement,Session Management Statement,,session management statement ,,False
http://ns.inria.fr/ast/sql#Column,Relational Column,,relational column ,,False
http://ns.inria.fr/ast/sql#OuterJoin,Outer Join Predicate,,outer join predicate ,,False
http://ns.inria.fr/ast/sql#Sum,Sum,,sum ,,False
http://ns.inria.fr/ast/sql#ComparisonOperator,Comparison Operator,,comparison operator ,,False
http://ns.inria.fr/ast/sql#StdDev,Standard Deviation,,standard deviation ,,False
http://ns.inria.fr/ast/sql#LeftOuterJoin,Left Outer Join Predicate,,left outer join predicate ,,False
http://ns.inria.fr/ast/sql#DeleteStatement,Delete Statement,,delete statement ,,False
http://ns.inria.fr/ast/sql#Alias,Alias,,alias ,,False
http://ns.inria.fr/ast/sql#Var,Variance,,variance ,,False
http://ns.inria.fr/ast/sql#Statement,Statement,,statement ,,False
http://ns.inria.fr/ast/sql#User,Relational User,,relational user ,,False
http://ns.inria.fr/ast/sql#AccessControlStatement,Access Control Statement,,access control statement ,,False
http://ns.inria.fr/ast/sql#Minus,Subtraction,,subtraction ,,False
http://ns.inria.fr/ast/sql#RoleIdentifier,Role Identifier,,role identifier ,,False
http://ns.inria.fr/ast/sql#Predicate,Predicate,,predicate ,,False
http://ns.inria.fr/ast/sql#Concatenation,Concatenation,,concatenation ,,False
